@relation 'alunos almoco sem feriados - teste-weka.filters.unsupervised.attribute.Remove-R1'

@attribute Temperatura numeric
@attribute Precipitação numeric
@attribute Segunda numeric
@attribute Terça numeric
@attribute Quarta numeric
@attribute Quinta numeric
@attribute Sexta numeric
@attribute Primavera numeric
@attribute Verao numeric
@attribute Outono numeric
@attribute Inverno numeric
@attribute 'Distancia Data Posterior' numeric
@attribute 'Distancia Data Anterior' numeric
@attribute 'Vendas 1d anterior' numeric
@attribute 'Vendas 2d anterior' numeric
@attribute 'Vendas 3d anterior' numeric
@attribute 'Vendas 4d anterior' numeric
@attribute 'Vendas 5d anterior' numeric
@attribute 'TOTAL VENDIDO ALMOCO' numeric

@data
30,75.25,0,0,0,0,1,0,0,1,0,3,1,525,490,553,340,544,389
26.4,80.5,0,0,0,1,0,0,0,1,0,1,1,490,553,340,544,500,525
27,79.25,0,0,1,0,0,0,0,1,0,1,1,553,340,544,500,548,490
31,79.25,0,1,0,0,0,0,0,1,0,1,4,340,544,500,548,413,553
30.5,72.5,0,0,0,0,1,0,1,0,0,4,1,544,500,548,413,378,340
31,66,0,0,0,1,0,0,1,0,0,1,1,500,548,413,378,514,544
33.6,72.5,0,0,1,0,0,0,1,0,0,1,1,548,413,378,514,502,500
29.3,81.5,0,1,0,0,0,0,1,0,0,1,1,413,378,514,502,502,548
31.2,76.75,1,0,0,0,0,0,1,0,0,1,3,378,514,502,502,430,413
26.8,77.25,0,0,0,0,1,0,1,0,0,3,1,514,502,502,430,308,378
23.8,86.5,0,0,0,1,0,0,1,0,0,1,1,502,502,430,308,461,514
30,84.25,0,0,1,0,0,0,1,0,0,1,1,502,430,308,461,443,502
29.8,81,0,1,0,0,0,0,1,0,0,1,1,430,308,461,443,470,502
31.2,77.5,1,0,0,0,0,0,1,0,0,1,3,308,461,443,470,446,430
31.4,83.75,0,0,0,0,1,0,1,0,0,3,1,461,443,470,446,42,308
30.6,80.25,0,0,0,1,0,0,1,0,0,1,1,443,470,446,42,70,461
30.3,77,0,0,1,0,0,0,1,0,0,1,1,470,446,42,70,64,443
28.5,84,0,1,0,0,0,0,1,0,0,1,1,446,42,70,64,101,470
27.2,88,1,0,0,0,0,0,1,0,0,1,69,42,70,64,101,178,446
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
