--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2017 a 31/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempMaxima;Umidade Relativa Media;
83781;12/01/2018;0000;24.4;75;
83781;13/01/2018;0000;26.8;64.75;
83781;14/01/2018;0000;30.4;80;
83781;15/01/2018;0000;29.8;68;
83781;16/01/2018;0000;29.2;76;
83781;17/01/2018;0000;30.8;77;
83781;18/01/2018;0000;31.6;78;
83781;19/01/2018;0000;28.8;83;
83781;20/01/2018;0000;29;90;
83781;21/01/2018;0000;30.2;85;
83781;22/01/2018;0000;31.8;70;
83781;23/01/2018;0000;32;76;
83781;24/01/2018;0000;33.7;69;
83781;25/01/2018;0000;29.7;82;
83781;26/01/2018;0000;24.8;85;
83781;27/01/2018;0000;25.1;85;
83781;28/01/2018;0000;31.2;83;
83781;29/01/2018;0000;25.8;91;
83781;30/01/2018;0000;21.8;85;
83781;31/01/2018;0000;25.5;78;
83781;01/02/2018;0000;27.3;71;
83781;02/02/2018;0000;27.8;71;
83781;03/02/2018;0000;25.9;72.75;
83781;04/02/2018;0000;25.7;71.75;
83781;05/02/2018;0000;25.4;74.75;
83781;06/02/2018;0000;24.4;78;
83781;07/02/2018;0000;29;65.75;
83781;08/02/2018;0000;29.6;62.25;
83781;09/02/2018;0000;32.8;53.5;
83781;10/02/2018;0000;30;73.5;
83781;11/02/2018;0000;31;69.5;
83781;12/02/2018;0000;32;71;
83781;13/02/2018;0000;24.5;85.5;
83781;14/02/2018;0000;22.2;85.25;
83781;15/02/2018;0000;24.1;85.5;
83781;16/02/2018;0000;24.5;81.75;
83781;17/02/2018;0000;27;78.75;
83781;18/02/2018;0000;23.8;81.25;
83781;19/02/2018;0000;26.8;71;
83781;20/02/2018;0000;27.7;83;
83781;21/02/2018;0000;29.7;62;
83781;22/02/2018;0000;30.2;86;
83781;23/02/2018;0000;27.3;79;
83781;24/02/2018;0000;27.5;70;
83781;25/02/2018;0000;26.8;76;
83781;26/02/2018;0000;27.2;88;
83781;27/02/2018;0000;28.5;84;
83781;28/02/2018;0000;30.3;77;
83781;01/03/2018;0000;30.6;80.25;
83781;02/03/2018;0000;31.4;83.75;
83781;03/03/2018;0000;29.5;77;
83781;04/03/2018;0000;31.3;83.75;
83781;05/03/2018;0000;31.2;77.5;
83781;06/03/2018;0000;29.8;81;
83781;07/03/2018;0000;30;84.25;
83781;08/03/2018;0000;23.8;86.5;
83781;09/03/2018;0000;26.8;77.25;
83781;10/03/2018;0000;27.5;84.5;
83781;11/03/2018;0000;31;70.25;
83781;12/03/2018;0000;31.2;76.75;
83781;13/03/2018;0000;29.3;81.5;
83781;14/03/2018;0000;33.6;72.5;
83781;15/03/2018;0000;31;66;
83781;16/03/2018;0000;30.5;72.5;
83781;17/03/2018;0000;29.6;71.25;
83781;18/03/2018;0000;32;74;
83781;19/03/2018;0000;31.9;78.75;
83781;20/03/2018;0000;31;79.25;
83781;21/03/2018;0000;27;79.25;
83781;22/03/2018;0000;26.4;80.5;
83781;23/03/2018;0000;30;75.25;
83781;24/03/2018;0000;30.3;67.5;
83781;25/03/2018;0000;30.2;56.5;
83781;26/03/2018;0000;28.2;81.75;
83781;27/03/2018;0000;28.6;86;
83781;28/03/2018;0000;28.2;83;
83781;29/03/2018;0000;28.5;77.75;
83781;30/03/2018;0000;27.8;80.5;
83781;31/03/2018;0000;28.3;78;
83781;01/04/2018;0000;28.5;73.25;
83781;02/04/2018;0000;26;77.5;
83781;03/04/2018;0000;26.3;81.5;
83781;04/04/2018;0000;26.8;79;
83781;05/04/2018;0000;27.8;74.25;
83781;06/04/2018;0000;27.2;72;
83781;07/04/2018;0000;28.6;72;
83781;08/04/2018;0000;28.1;77.75;
83781;09/04/2018;0000;27.8;74.25;
